Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,1,Capital Region,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",1230,45940,44430,32410,52700
10,1,Capital Region,39-2011,Animal Trainers,,42190,25950,25000,50780
10,1,Capital Region,39-2021,Nonfarm Animal Caretakers,1010,29970,27050,25080,32410
10,1,Capital Region,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",140,26350,25340,25070,26980
10,1,Capital Region,39-3091,Amusement and Recreation Attendants,1250,28130,25450,24760,29810
10,1,Capital Region,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",,37300,28320,24860,43520
10,1,Capital Region,39-4021,Funeral Attendants,,34550,33220,26230,38710
10,1,Capital Region,39-4031,"Morticians, Undertakers, and Funeral Directors",60,67200,71390,51460,75070
10,1,Capital Region,39-5011,Barbers,,35160,31080,24650,40420
10,1,Capital Region,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",1040,30860,26480,25150,33710
10,1,Capital Region,39-5092,Manicurists and Pedicurists,790,26640,25210,24544,27950
10,1,Capital Region,39-5094,Skincare Specialists,,37000,36060,29380,40810
10,1,Capital Region,39-6011,Baggage Porters and Bellhops,60,31140,25820,24880,34260
10,1,Capital Region,39-6012,Concierges,70,30290,28760,25530,32670
10,1,Capital Region,39-7010,Tour and Travel Guides,100,29260,25550,25060,31360
10,1,Capital Region,39-9011,Childcare Workers,3710,29380,26550,24690,31730
10,1,Capital Region,39-9031,Fitness Trainers and Aerobics Instructors,1470,47180,40590,29310,56120
10,1,Capital Region,39-9032,Recreation Workers,1480,30180,26220,24870,32840
10,1,Capital Region,39-9041,Residential Advisors,600,35160,32520,27970,38760
10,1,Capital Region,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",150,32160,31810,27560,34450
10,1,Capital Region,41-0000,Sales and Related Occupations,48670,44570,30760,25430,54140
10,1,Capital Region,41-1011,First-Line Supervisors of Retail Sales Workers,4420,47820,42530,32500,55480
10,1,Capital Region,41-1012,First-Line Supervisors of Non-Retail Sales Workers,920,89490,80700,56030,106220
10,1,Capital Region,41-2011,Cashiers,12920,26980,25950,25160,27900
10,1,Capital Region,41-2021,Counter and Rental Clerks,1060,32770,30720,25840,36240
10,1,Capital Region,41-2022,Parts Salespersons,930,43130,39900,29710,49840
10,1,Capital Region,41-2031,Retail Salespersons,15970,31700,26940,25220,34940
10,1,Capital Region,41-3011,Advertising Sales Agents,390,79440,58380,37220,100550
10,1,Capital Region,41-3021,Insurance Sales Agents,1890,91890,63020,36240,119710
10,1,Capital Region,41-3031,"Securities, Commodities, and Financial Services Sales Agents",1260,81670,63500,39710,102650
10,1,Capital Region,41-3041,Travel Agents,130,38570,36500,27820,43940
10,1,Capital Region,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2850,69370,61010,37290,85410
10,1,Capital Region,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",880,108000,94610,63870,130060
10,1,Capital Region,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3870,71380,64240,39810,87170
10,1,Capital Region,41-9011,Demonstrators and Product Promoters,260,32220,30890,28010,34320
10,1,Capital Region,41-9022,Real Estate Sales Agents,140,74710,55850,36060,94030
10,1,Capital Region,41-9031,Sales Engineers,190,115570,103480,70540,138090
10,1,Capital Region,41-9041,Telemarketers,,37680,37350,31170,40940
10,1,Capital Region,43-0000,Office and Administrative Support Occupations,78220,43900,40350,29700,50990
10,1,Capital Region,43-1011,First-Line Supervisors of Office and Administrative Support Workers,5940,65500,62820,43220,76640
10,1,Capital Region,43-2011,"Switchboard Operators, Including Answering Service",170,34770,32850,27270,38520
10,1,Capital Region,43-3011,Bill and Account Collectors,200,47680,47990,35400,53830
10,1,Capital Region,43-3021,Billing and Posting Clerks,1950,41980,39760,34110,45920
10,1,Capital Region,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",6390,44150,42880,32890,49780
10,1,Capital Region,43-3051,Payroll and Timekeeping Clerks,560,47980,47500,34020,54960
10,1,Capital Region,43-3061,Procurement Clerks,260,44230,44820,34910,48890
10,1,Capital Region,43-3071,Tellers,1130,32590,32320,26910,35430
10,1,Capital Region,43-3099,"Financial Clerks, All Other",80,43330,40560,33140,48430
10,1,Capital Region,43-4011,Brokerage Clerks,100,53370,48120,38330,60890
10,1,Capital Region,43-4021,Correspondence Clerks,,44000,43180,35620,48190
10,1,Capital Region,43-4031,"Court, Municipal, and License Clerks",870,45240,42420,34200,50770
10,1,Capital Region,43-4041,"Credit Authorizers, Checkers, and Clerks",110,44080,39760,27830,52200
10,1,Capital Region,43-4051,Customer Service Representatives,9860,39930,37490,27790,46000
10,1,Capital Region,43-4061,"Eligibility Interviewers, Government Programs",740,49900,49440,40160,54760
10,1,Capital Region,43-4071,File Clerks,470,35990,35120,26590,40680
10,1,Capital Region,43-4081,"Hotel, Motel, and Resort Desk Clerks",1160,28570,26370,24640,30530
10,1,Capital Region,43-4111,"Interviewers, Except Eligibility and Loan",680,35500,34200,28230,39130
10,1,Capital Region,43-4121,"Library Assistants, Clerical",590,33470,31180,26340,37030
10,1,Capital Region,43-4131,Loan Interviewers and Clerks,370,43730,43120,33510,48850
10,1,Capital Region,43-4141,New Accounts Clerks,250,42220,43620,32700,46980
10,1,Capital Region,43-4151,Order Clerks,210,32430,28270,25040,36130
10,1,Capital Region,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",660,47890,47790,38800,52440
10,1,Capital Region,43-4171,Receptionists and Information Clerks,6110,34060,32930,27500,37340
10,1,Capital Region,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,250,46880,42490,29900,55370
10,1,Capital Region,43-4199,"Information and Record Clerks, All Other",360,44540,44210,35280,49170
10,1,Capital Region,43-5011,Cargo and Freight Agents,110,45870,45140,35280,51170
10,1,Capital Region,43-5021,Couriers and Messengers,360,34150,34260,28030,37210
10,1,Capital Region,43-5031,"Police, Fire, and Ambulance Dispatchers",400,50670,51350,39190,56410
10,1,Capital Region,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",510,47550,44720,32560,55040
10,1,Capital Region,43-5041,"Meter Readers, Utilities",,50730,51200,40250,55970
10,1,Capital Region,43-5051,Postal Service Clerks,420,49740,47650,37980,55620
10,1,Capital Region,43-5052,Postal Service Mail Carriers,1180,52820,49660,38510,59970
10,1,Capital Region,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",510,49690,48410,36270,56400
10,1,Capital Region,43-5061,"Production, Planning, and Expediting Clerks",2310,47640,44740,31430,55750
10,1,Capital Region,43-5071,"Shipping, Receiving, and Traffic Clerks",1610,37920,36670,28340,42710
10,1,Capital Region,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",140,38700,38160,32190,41950
10,1,Capital Region,43-6011,Executive Secretaries and Executive Administrative Assistants,4010,66790,65120,45960,77210
10,1,Capital Region,43-6012,Legal Secretaries,810,43750,39860,28060,51600
10,1,Capital Region,43-6013,Medical Secretaries,510,38680,37760,31330,42360
10,1,Capital Region,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",10300,43240,42540,31960,48890
10,1,Capital Region,43-9021,Data Entry Keyers,580,36870,35040,27680,41470
10,1,Capital Region,43-9022,Word Processors and Typists,1510,40050,39410,32200,43970
10,1,Capital Region,43-9031,Desktop Publishers,,48750,46490,33660,56300
10,1,Capital Region,43-9041,Insurance Claims and Policy Processing Clerks,880,51230,48790,38350,57670
10,1,Capital Region,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",520,35510,35470,26440,40040
10,1,Capital Region,43-9061,"Office Clerks, General",11090,36770,35390,26440,41940
10,1,Capital Region,43-9071,"Office Machine Operators, Except Computer",310,32530,29550,24870,36360
10,1,Capital Region,43-9081,Proofreaders and Copy Markers,,50370,47970,32030,59550
10,1,Capital Region,43-9111,Statistical Assistants,,62280,68010,38490,74180
10,1,Capital Region,43-9199,"Office and Administrative Support Workers, All Other",350,46410,45520,33710,52770
10,1,Capital Region,45-0000,"Farming, Fishing, and Forestry Occupations",250,43930,38420,28190,51800
10,1,Capital Region,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",,33020,32560,26210,36420
10,1,Capital Region,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,44410,46570,38660,47280
10,1,Capital Region,45-4022,Logging Equipment Operators,50,40620,40260,34190,43840
10,1,Capital Region,45-4023,Log Graders and Scalers,,48170,52970,31340,56580
10,1,Capital Region,47-0000,Construction and Extraction Occupations,21140,57640,53080,36410,68260
10,1,Capital Region,47-1011,Supervisors of Construction and Extraction Workers,1950,74590,70900,47650,88060
10,1,Capital Region,47-2011,Boilermakers,200,67880,62200,46110,78770
10,1,Capital Region,47-2021,Brickmasons and Blockmasons,180,69900,72210,53470,78120
10,1,Capital Region,47-2031,Carpenters,2740,55790,55240,40000,63690
10,1,Capital Region,47-2041,Carpet Installers,,38150,39700,26040,44200
10,1,Capital Region,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",170,55980,51750,43790,62070
10,1,Capital Region,47-2044,Tile and Marble Setters,,61170,58310,41520,71000
10,1,Capital Region,47-2051,Cement Masons and Concrete Finishers,250,64220,63290,48950,71850
10,1,Capital Region,47-2061,Construction Laborers,3710,45720,40980,31040,53050
10,1,Capital Region,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",90,42120,41010,34830,45770
10,1,Capital Region,47-2073,Operating Engineers and Other Construction Equipment Operators,1540,65550,59180,40660,78000
10,1,Capital Region,47-2081,Drywall and Ceiling Tile Installers,180,51450,49060,39290,57530
10,1,Capital Region,47-2082,Tapers,,70800,67000,55540,78430
10,1,Capital Region,47-2111,Electricians,1980,61090,59820,39560,71860
10,1,Capital Region,47-2121,Glaziers,,53380,55960,40530,59800
10,1,Capital Region,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",,58080,60490,47460,63400
10,1,Capital Region,47-2141,"Painters, Construction and Maintenance",600,46220,44270,34130,52260
10,1,Capital Region,47-2151,Pipelayers,,53160,51560,40000,59740
10,1,Capital Region,47-2152,"Plumbers, Pipefitters, and Steamfitters",1690,73180,75130,45580,86980
10,1,Capital Region,47-2181,Roofers,500,54500,49760,34090,64700
10,1,Capital Region,47-2211,Sheet Metal Workers,100,71660,71330,47380,83810
10,1,Capital Region,47-2221,Structural Iron and Steel Workers,240,72850,72140,43700,87420
10,1,Capital Region,47-2231,Solar Photovoltaic Installers,,56720,56640,44210,62980
10,1,Capital Region,47-3012,Helpers--Carpenters,140,38040,37760,34690,39710
10,1,Capital Region,47-3013,Helpers--Electricians,150,39140,37840,32660,42380
10,1,Capital Region,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",,40810,38620,32820,44810
10,1,Capital Region,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",,35220,36000,31270,37190
10,1,Capital Region,47-4011,Construction and Building Inspectors,810,69230,61910,42840,82430
10,1,Capital Region,47-4021,Elevator Installers and Repairers,110,89760,93190,59610,104830
10,1,Capital Region,47-4031,Fence Erectors,,41410,41540,31330,46450
10,1,Capital Region,47-4041,Hazardous Materials Removal Workers,,63250,68910,41930,73920
10,1,Capital Region,47-4051,Highway Maintenance Workers,2160,43760,43740,35050,48120
10,1,Capital Region,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,120,41700,38340,28360,48370
10,1,Capital Region,47-4090,Miscellaneous Construction and Related Workers,,48460,47410,35920,54730
10,1,Capital Region,47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",200,56680,55090,38910,65570
10,1,Capital Region,47-5097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",,47980,40990,34440,54750
10,1,Capital Region,47-5098,"Underground Mining Machine Operators and Extraction Workers, All Other",,43560,42720,33880,48400
10,1,Capital Region,49-0000,"Installation, Maintenance, and Repair Occupations",20940,52570,48410,32260,62730
10,1,Capital Region,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",1890,73960,68340,50290,85800
10,1,Capital Region,49-2011,"Computer, Automated Teller, and Office Machine Repairers",310,43620,39960,28900,50980
10,1,Capital Region,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",,47350,45010,35300,53380
10,1,Capital Region,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",670,57900,55120,24950,74380
10,1,Capital Region,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",80,63440,61250,46460,71920
10,1,Capital Region,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",140,91960,94560,75040,100420
10,1,Capital Region,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",,36800,36670,30020,40190
10,1,Capital Region,49-2098,Security and Fire Alarm Systems Installers,150,47690,48570,29130,56970
10,1,Capital Region,49-3011,Aircraft Mechanics and Service Technicians,150,61070,57470,41710,70750
10,1,Capital Region,49-3021,Automotive Body and Related Repairers,710,45930,44530,33170,52320
10,1,Capital Region,49-3022,Automotive Glass Installers and Repairers,,45800,45820,38000,49710
10,1,Capital Region,49-3023,Automotive Service Technicians and Mechanics,2420,44400,42950,30660,51260
10,1,Capital Region,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,970,53210,50030,38870,60380
10,1,Capital Region,49-3041,Farm Equipment Mechanics and Service Technicians,80,43680,42410,33120,48970
10,1,Capital Region,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",340,57290,57840,42400,64730
10,1,Capital Region,49-3051,Motorboat Mechanics and Service Technicians,120,43010,42590,33870,47570
10,1,Capital Region,49-3052,Motorcycle Mechanics,70,40710,43240,28810,46650
10,2,Central New York,15-2011,Actuaries,50,110200,104470,64090,133250
10,1,Capital Region,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,170,39410,37520,32930,42650
10,1,Capital Region,49-3092,Recreational Vehicle Service Technicians,,42770,44020,36350,45970
10,1,Capital Region,49-3093,Tire Repairers and Changers,,44150,39650,32660,49900
10,1,Capital Region,49-9011,Mechanical Door Repairers,,48220,46620,35400,54630
10,1,Capital Region,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",470,79680,87930,53360,92840
10,1,Capital Region,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1640,59910,57950,38970,70380
10,1,Capital Region,49-9031,Home Appliance Repairers,90,52830,54570,35200,61650
10,1,Capital Region,49-9041,Industrial Machinery Mechanics,1010,56110,54140,44880,61730
10,1,Capital Region,49-9043,"Maintenance Workers, Machinery",240,54200,51880,38410,62090
10,1,Capital Region,49-9044,Millwrights,120,62400,59900,51610,67790
10,1,Capital Region,49-9051,Electrical Power-Line Installers and Repairers,330,86340,92300,60620,99200
10,1,Capital Region,49-9052,Telecommunications Line Installers and Repairers,1180,63730,63270,38060,76560
10,1,Capital Region,49-9062,Medical Equipment Repairers,130,56050,50780,32970,67590
10,1,Capital Region,49-9069,"Precision Instrument and Equipment Repairers, All Other",,65030,67030,53420,70840
10,1,Capital Region,49-9071,"Maintenance and Repair Workers, General",5990,41860,39860,29480,48050
10,1,Capital Region,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",,41120,43250,28810,47280
10,1,Capital Region,49-9094,Locksmiths and Safe Repairers,,55680,50760,42650,62200
10,1,Capital Region,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",290,41280,40440,29270,47280
10,1,Capital Region,49-9099,"Installation, Maintenance, and Repair Workers, All Other",360,43120,36590,29540,49920
10,1,Capital Region,51-0000,Production Occupations,21510,44810,41400,28410,53010
10,1,Capital Region,51-1011,First-Line Supervisors of Production and Operating Workers,1960,71180,67850,45840,83840
10,1,Capital Region,51-2021,"Coil Winders, Tapers, and Finishers",,48550,48440,38760,53450
10,1,Capital Region,51-2028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers?(OES-specific code and title)",410,38360,38050,28590,43240
10,1,Capital Region,51-2041,Structural Metal Fabricators and Fitters,60,53760,48690,31100,65080
10,1,Capital Region,51-2090,Miscellaneous Assemblers and Fabricators,2950,33620,30680,26210,37320
10,1,Capital Region,51-3011,Bakers,600,33020,30770,25390,36830
10,1,Capital Region,51-3021,Butchers and Meat Cutters,560,38600,36960,24840,45480
10,1,Capital Region,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",,37950,38090,31640,41110
10,1,Capital Region,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",190,34450,33800,25630,38860
10,1,Capital Region,51-3092,Food Batchmakers,440,44550,45140,38030,47810
10,1,Capital Region,51-3099,"Food Processing Workers, All Other",,31960,29420,25270,35310
10,1,Capital Region,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",70,43620,40080,35670,47590
10,1,Capital Region,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",220,38190,37410,29990,42290
10,1,Capital Region,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",90,39660,36590,28390,45290
10,1,Capital Region,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,43710,42440,30520,50300
10,1,Capital Region,51-4041,Machinists,1120,48320,46950,35900,54530
10,1,Capital Region,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",220,35110,27990,24690,40310
10,1,Capital Region,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",250,40360,38030,29290,45900
10,1,Capital Region,51-4111,Tool and Die Makers,80,56280,60330,37370,65740
10,1,Capital Region,51-4121,"Welders, Cutters, Solderers, and Brazers",490,48030,47090,35250,54410
10,1,Capital Region,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",,35740,32370,28810,39200
10,1,Capital Region,51-5111,Prepress Technician and Workers,130,34320,30050,24590,39190
10,1,Capital Region,51-5112,Printing Press Operators,610,44450,42870,32670,50330
10,1,Capital Region,51-5113,Print Binding and Finishing Workers,130,43090,43820,34820,47220
10,1,Capital Region,51-6011,Laundry and Dry-Cleaning Workers,570,27150,25630,24660,28390
10,1,Capital Region,51-6021,"Pressers, Textile, Garment, and Related Materials",,29250,28010,24860,31450
10,1,Capital Region,51-6031,Sewing Machine Operators,280,30480,27890,24760,33330
10,1,Capital Region,51-6052,"Tailors, Dressmakers, and Custom Sewers",,37700,37360,34350,39370
10,1,Capital Region,51-7011,Cabinetmakers and Bench Carpenters,320,43230,40280,28050,50820
10,1,Capital Region,51-7021,Furniture Finishers,60,44490,39280,33200,50130
10,1,Capital Region,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",50,36620,34590,28720,40560
10,1,Capital Region,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",120,34710,29750,24750,39680
10,1,Capital Region,51-8013,Power Plant Operators,130,93260,95920,71110,104340
10,1,Capital Region,51-8021,Stationary Engineers and Boiler Operators,390,56030,56310,42310,62900
10,1,Capital Region,51-8031,Water and Wastewater Treatment Plant and System Operators,490,51640,50760,39300,57810
10,1,Capital Region,51-8091,Chemical Plant and System Operators,230,60230,56840,47500,66600
10,1,Capital Region,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",,51910,51140,46000,54870
10,1,Capital Region,51-9011,Chemical Equipment Operators and Tenders,160,54980,55810,39150,62890
10,1,Capital Region,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",130,40330,37230,27420,46790
10,1,Capital Region,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",180,36250,34090,28400,40180
10,1,Capital Region,51-9022,"Grinding and Polishing Workers, Hand",110,31700,30620,29090,33010
10,1,Capital Region,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",840,44980,43230,31400,51770
10,1,Capital Region,51-9031,"Cutters and Trimmers, Hand",,29220,28520,25180,31250
10,1,Capital Region,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",260,39770,38060,27320,45990
10,1,Capital Region,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",,49330,53970,34050,56970
10,1,Capital Region,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1480,49540,47980,32720,57950
10,1,Capital Region,51-9071,Jewelers and Precious Stone and Metal Workers,50,40240,31500,27530,46600
10,1,Capital Region,51-9083,Ophthalmic Laboratory Technicians,90,41170,40390,32990,45250
10,1,Capital Region,51-9111,Packaging and Filling Machine Operators and Tenders,730,39600,37710,28370,45210
10,1,Capital Region,51-9123,"Painting, Coating, and Decorating Workers",,34170,31820,28250,37130
10,1,Capital Region,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",270,40970,37970,27190,47860
10,1,Capital Region,51-9161,Computer Numerically Controlled Tool Operators,,37600,34940,26420,43190
10,1,Capital Region,51-9162,Computer Numerically Controlled Tool Programmers,50,51680,53180,35450,59800
10,1,Capital Region,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",,43040,44900,33650,47740
10,1,Capital Region,51-9194,Etchers and Engravers,,40310,37430,30280,45320
10,1,Capital Region,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",60,34860,30870,27710,38440
10,1,Capital Region,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",770,48020,48120,38890,52580
10,1,Capital Region,51-9198,Helpers--Production Workers,610,37010,35180,27310,41870
10,1,Capital Region,51-9199,"Production Workers, All Other",540,38250,34920,25120,44820
10,1,Capital Region,53-0000,Transportation and Material Moving Occupations,33740,39690,36420,27060,46000
10,1,Capital Region,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",1440,59070,58160,38120,69540
10,1,Capital Region,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",,27450,26520,25090,28630
10,1,Capital Region,53-3031,Driver/Sales Workers,570,33870,29750,25770,37910
10,1,Capital Region,53-3032,Heavy and Tractor-Trailer Truck Drivers,6010,49500,48150,37950,55270
10,1,Capital Region,53-3033,Light Truck or Delivery Services Drivers,2450,39310,35610,27160,45380
10,1,Capital Region,53-3052,"Bus Drivers, Transit and Intercity",160,42840,42870,35520,46500
10,1,Capital Region,53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",3770,40260,36990,28130,46330
10,1,Capital Region,53-3099,"Motor Vehicle Operators, All Other",330,33170,28680,24790,37360
10,1,Capital Region,53-5011,Sailors and Marine Oilers,,48030,47620,25810,59140
10,1,Capital Region,53-5021,"Captains, Mates, and Pilots of Water Vessels",,74060,61980,41210,90480
10,1,Capital Region,53-5031,Ship Engineers,,68010,64300,40280,81880
10,1,Capital Region,53-6021,Parking Lot Attendants,750,29010,27760,25810,30610
10,1,Capital Region,53-6031,Automotive and Watercraft Service Attendants,330,31590,30760,26470,34140
10,1,Capital Region,53-6041,Traffic Technicians,110,60730,60740,42900,69650
10,1,Capital Region,53-6051,Transportation Inspectors,70,87660,81690,57820,102580
10,1,Capital Region,53-6061,"Transportation Attendants, Except Flight Attendants",,24780,24544,24544,25200
10,1,Capital Region,53-7011,Conveyor Operators and Tenders,,37570,36120,28240,42240
10,1,Capital Region,53-7051,Industrial Truck and Tractor Operators,1380,41070,41080,31960,45620
10,1,Capital Region,53-7061,Cleaners of Vehicles and Equipment,1030,31430,27020,25230,34540
10,1,Capital Region,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",7720,37130,34860,27080,42150
10,1,Capital Region,53-7063,Machine Feeders and Offbearers,180,36300,35000,28130,40390
10,1,Capital Region,53-7064,"Packers and Packagers, Hand",750,33350,30740,25510,37270
10,1,Capital Region,53-7065,Stockers and Order Fillers,6010,30960,28610,25450,33720
10,1,Capital Region,53-7081,Refuse and Recyclable Material Collectors,240,39460,37830,29420,44490
10,2,Central New York,00-0000,"Total, All Occupations",349940,52720,41010,26500,65840
10,2,Central New York,11-0000,Management Occupations,14280,121170,103510,64290,149610
10,2,Central New York,11-1011,Chief Executives,280,143820,121140,83480,173980
10,2,Central New York,11-1021,General and Operations Managers,5150,124560,99580,59390,157150
10,2,Central New York,11-1031,Legislators,540,90570,94250,82570,94570
10,2,Central New York,11-2011,Advertising and Promotions Managers,,140530,131690,91940,164830
10,2,Central New York,11-2021,Marketing Managers,250,164050,135890,90370,200890
10,2,Central New York,11-2022,Sales Managers,550,141720,132130,78750,173200
10,2,Central New York,11-2030,Public Relations and Fundraising Managers,100,136890,123980,81830,164420
10,2,Central New York,11-3010,Administrative Services Managers,430,110460,101210,71140,130120
10,2,Central New York,11-3021,Computer and Information Systems Managers,530,159100,148630,107640,184830
10,2,Central New York,11-3031,Financial Managers,690,145870,132390,93290,172160
10,2,Central New York,11-3051,Industrial Production Managers,340,120610,117930,84770,138530
10,2,Central New York,11-3061,Purchasing Managers,160,156740,124020,92370,188920
10,2,Central New York,11-3071,"Transportation, Storage, and Distribution Managers",170,109330,101790,76380,125810
10,2,Central New York,11-3111,Compensation and Benefits Managers,,193400,175280,118680,230760
10,2,Central New York,11-3121,Human Resources Managers,230,125620,119770,75630,150610
10,2,Central New York,11-3131,Training and Development Managers,60,147570,139160,89000,176860
10,2,Central New York,11-9021,Construction Managers,470,100420,90060,70700,115280
10,2,Central New York,11-9031,"Education Administrators, Preschool and Childcare Center/Program",70,54130,48210,44550,58920
10,2,Central New York,11-9032,"Education Administrators, Elementary and Secondary School",620,105310,102820,80990,117470
10,2,Central New York,11-9033,"Education Administrators, Postsecondary",480,143740,124870,82170,174530
10,2,Central New York,11-9039,"Education Administrators, All Other",50,77580,72460,48830,91950
10,2,Central New York,11-9041,Architectural and Engineering Managers,500,157550,150390,110840,180900
10,2,Central New York,11-9051,Food Service Managers,490,71030,63910,49070,82010
10,2,Central New York,11-9081,Lodging Managers,60,80400,62120,56030,92580
10,2,Central New York,11-9111,Medical and Health Services Managers,710,114580,99550,73980,134880
10,2,Central New York,11-9121,Natural Sciences Managers,,135160,115500,91970,156750
10,2,Central New York,11-9131,Postmasters and Mail Superintendents,50,79950,77520,68610,85620
10,2,Central New York,11-9141,"Property, Real Estate, and Community Association Managers",120,94490,76490,46700,118380
10,2,Central New York,11-9151,Social and Community Service Managers,470,69450,62320,45810,81270
10,2,Central New York,11-9161,Emergency Management Directors,,94930,92060,62350,111220
10,2,Central New York,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",550,101660,87240,47340,128820
10,2,Central New York,13-0000,Business and Financial Operations Occupations,15100,74500,66900,44370,89570
10,2,Central New York,13-1020,Buyers and Purchasing Agents,950,71970,64200,41080,87420
10,2,Central New York,13-1031,"Claims Adjusters, Examiners, and Investigators",1050,70530,70650,46920,82330
10,2,Central New York,13-1032,"Insurance Appraisers, Auto Damage",,65260,62850,55230,70280
10,2,Central New York,13-1041,Compliance Officers,770,66560,61780,43060,78320
10,2,Central New York,13-1051,Cost Estimators,480,77680,70360,50700,91170
10,2,Central New York,13-1071,Human Resources Specialists,1110,66460,62170,43400,77990
10,2,Central New York,13-1075,Labor Relations Specialists,370,61320,49190,40970,71490
10,2,Central New York,13-1081,Logisticians,160,76720,75330,48880,90650
10,2,Central New York,13-1111,Management Analysts,830,95570,76300,55150,115780
10,2,Central New York,13-1121,"Meeting, Convention, and Event Planners",180,49630,48580,33760,57570
10,2,Central New York,13-1131,Fundraisers,320,53540,50970,31090,64760
10,2,Central New York,13-1141,"Compensation, Benefits, and Job Analysis Specialists",260,77300,76720,50200,90850
